iter	Logloss
0	0.676806521
1	0.6624599533
2	0.6473694511
3	0.6328872428
4	0.6174193978
5	0.6049687755
6	0.5948865209
7	0.583994141
8	0.5739051413
9	0.5659344577
10	0.555803915
11	0.5489994797
12	0.5407359848
13	0.5331924789
14	0.5253929345
15	0.5197776671
16	0.5130515295
17	0.5057254918
18	0.4985373666
19	0.4936322406
20	0.489555577
21	0.4845369404
22	0.4798782505
23	0.4754897508
24	0.4720347789
25	0.4685036731
26	0.4646529126
27	0.4611491685
28	0.4582848251
29	0.4553415372
30	0.4521828821
31	0.4495833507
32	0.4471725766
33	0.4445144182
34	0.4417614559
35	0.4391983489
36	0.4369518566
37	0.4352018628
38	0.4333604689
39	0.4314126319
40	0.4287964793
41	0.4269612787
42	0.4255299808
43	0.4234514744
44	0.4213885659
45	0.4198060503
46	0.4181061544
47	0.4165446325
48	0.4155318958
49	0.4143889219
50	0.4130414721
51	0.4113087596
52	0.4098056675
53	0.4078520509
54	0.406348309
55	0.4050637594
56	0.4043487929
57	0.4031732326
58	0.4018095516
59	0.4010649229
60	0.3995440174
61	0.3986551336
62	0.3975214141
63	0.3965871549
64	0.395828653
65	0.394771534
66	0.3936734767
67	0.3928209376
68	0.3916246904
69	0.391173023
70	0.389991647
71	0.3887908675
72	0.3882476241
73	0.3871945346
74	0.386046586
75	0.3850892549
76	0.3839488456
77	0.3834386565
78	0.3826471015
79	0.3819630439
80	0.3814196602
81	0.3808067614
82	0.3799148142
83	0.3793412756
84	0.3787218443
85	0.3776915493
86	0.3768190739
87	0.3758913781
88	0.3754908169
89	0.3749776285
90	0.3744016483
91	0.3737327301
92	0.372738389
93	0.3719997456
94	0.3715069363
95	0.3705372244
96	0.3698356837
97	0.3695203385
98	0.3687577645
99	0.3682721721
100	0.3676796769
101	0.3670602549
102	0.3666016724
103	0.3660391679
104	0.365635587
105	0.3651002086
106	0.364463633
107	0.363916833
108	0.3632583733
109	0.3626327244
110	0.3622434615
111	0.3619071506
112	0.3613084435
113	0.360779708
114	0.3604695546
115	0.3599302386
116	0.3592594321
117	0.3588054837
118	0.3584841527
119	0.3578628247
120	0.3575001519
121	0.3568055025
122	0.3563246006
123	0.3558987679
124	0.355525138
125	0.3552068099
126	0.3546665331
127	0.3542959299
128	0.3537221923
129	0.3530219354
130	0.3526568521
131	0.3522950982
132	0.3517527578
133	0.3513450382
134	0.3509233446
135	0.3505531372
136	0.3500865308
137	0.3496483013
138	0.3492525796
139	0.3486108556
140	0.3481181823
141	0.347628038
142	0.3472210333
143	0.3467088739
144	0.3462835615
145	0.3459034277
146	0.3454228855
147	0.3448796139
148	0.34431519
149	0.3436162535
150	0.3433524105
151	0.3428317816
152	0.3424708479
153	0.3420307714
154	0.3416715935
155	0.3411211979
156	0.340691281
157	0.3401927579
158	0.3397473129
159	0.339397805
160	0.3389292216
161	0.3385890773
162	0.3379386596
163	0.3375556543
164	0.3370351189
165	0.3367459781
166	0.3363797958
167	0.3359793218
168	0.335578414
169	0.3352485044
170	0.3346384551
171	0.3340732868
172	0.3337104324
173	0.3333271665
174	0.3330830854
175	0.3326763119
176	0.3322504072
177	0.3316627031
178	0.3313018899
179	0.3310503488
180	0.3305066742
181	0.3301198109
182	0.3295743765
183	0.3290322397
184	0.3288081408
185	0.3285177494
186	0.3279972889
187	0.3276540833
188	0.3271883427
189	0.3267307275
190	0.3264024182
191	0.325964177
192	0.3255823784
193	0.3251803656
194	0.3247509684
195	0.3242541684
196	0.3238477658
197	0.3233920842
198	0.3230395217
199	0.3226109976
200	0.3223561018
201	0.3219387013
202	0.3215384051
203	0.3210115734
204	0.3207021278
205	0.320412686
206	0.3200687486
207	0.3195851079
208	0.3190546927
209	0.3186519652
210	0.3182431935
211	0.3177876386
212	0.3174189683
213	0.3168053788
214	0.3164823266
215	0.3161561273
216	0.3158298298
217	0.3155768117
218	0.3152021831
219	0.3148388367
220	0.3145244358
221	0.3140282214
222	0.3134228987
223	0.3128857446
224	0.312589108
225	0.3121466279
226	0.311407832
227	0.310932142
228	0.3105565943
229	0.3102167396
230	0.3098121187
231	0.3093844726
232	0.308922142
233	0.3085903674
234	0.3082638046
235	0.3078564746
236	0.3074403924
237	0.3072275014
238	0.3067414781
239	0.3064391301
240	0.3061087855
241	0.3057772094
242	0.3055229538
243	0.3052834494
244	0.305004279
245	0.3045444584
246	0.3039960076
247	0.3037275284
248	0.3032600815
249	0.3027327374
250	0.3024112462
251	0.3019682467
252	0.3015064777
253	0.3011553547
254	0.3007292053
255	0.3004242291
256	0.3001625592
257	0.2998516875
